,CONGLOME,VIVIENDA,ID,P101,P102,P103,P104,P105,P106,P107,P108,P109,P110,P111,P112,P113_BICICLETA,P113_MOTOCICLETA,P113_CARRO,P113_OTRO,P111_TEL_FIJO,P111_TEL_CELULAR,P111_CABLE,P111_INTERNET,P112_RADIO,P112_TELEVISOR,P112_COMPUTADORA,P112_HORNO,P112_LAVADORA,P112_REFRIGERADORA,P112_COCINA,P112_PLANCHA,P112_EQUIPO
0,5345,4,3.0,1,3,4,6,1,2,1,1,1,2,2,27,2,2,1,2,2,1,2,2,2,1,2,2,2,2,1,2,2
1,5384,6,7.0,1,8,4,6,1,5,1,4,3,6,2,129,2,1,2,1,2,1,2,2,1,1,2,2,2,2,2,2,1
2,6064,1,4.0,1,6,4,5,1,5,1,1,1,2,2,257,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2
3,6287,3,3.0,1,3,4,6,7,4,1,2,1,6,2,12,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2
4,6643,6,5.0,1,6,7,4,5,5,7,3,2,6,23,12,2,2,2,1,2,1,1,2,1,1,2,2,2,2,2,2,2
5,6713,2,7.0,1,1,5,5,1,1,1,3,2,2,2,279,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,1
6,6981,9,6.0,1,3,4,6,2,2,1,1,1,2,2,17,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2
7,7069,1,4.0,1,6,4,6,7,2,5,2,2,6,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2
8,7122,1,3.0,1,1,1,5,1,1,1,3,3,2,2,245789,2,2,1,2,2,1,2,2,2,1,2,1,1,2,1,1,1
9,7333,8,7.0,1,3,4,5,1,1,1,4,4,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2
10,8408,6,6.0,1,1,4,5,1,1,1,2,2,2,1234,2345678,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2
11,8863,3,7.0,1,7,4,6,1,5,1,4,3,5,2,1267,2,2,2,2,2,1,2,2,1,1,2,2,2,1,1,2,2
12,9173,6,5.0,1,3,4,5,1,1,1,4,3,2,234,23789,2,1,2,2,2,1,1,1,2,1,1,2,2,2,1,1,1
13,9601,9,5.0,1,3,4,6,2,2,1,3,2,6,2,127,2,1,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2
14,9719,3,99.0,3,6,4,5,3,2,1,1,1,2,2,278,1,2,2,1,2,1,2,2,2,1,2,2,2,2,1,1,2
15,9719,3,5.0,3,6,4,5,3,2,1,1,1,2,2,278,1,2,2,1,2,1,2,2,2,1,2,2,2,2,1,1,2
16,9720,5,6.0,3,6,4,6,3,2,1,1,1,6,5,17,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2
17,9756,3,8.0,1,6,4,4,5,7,6,3,1,6,5,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
18,10150,1,6.0,1,1,4,6,5,5,1,1,1,6,2,0,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
19,5013,37,9.0,1,1,4,5,1,1,1,6,5,2,12,126789,2,2,2,2,1,1,2,2,1,1,2,2,2,1,1,1,1
20,5023,40,7.0,1,6,4,6,1,1,1,1,1,2,2,27,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2
21,5023,80,6.0,1,6,4,4,1,1,1,6,4,2,23,25678,2,2,2,1,2,1,1,2,2,1,2,2,1,1,1,1,2
22,5029,27,3.0,1,1,1,3,1,1,1,3,2,2,23,234678,2,2,2,2,2,1,1,2,2,1,1,1,2,1,1,1,2
23,5061,68,4.0,1,3,4,6,2,2,1,2,1,6,2,267,2,2,2,2,2,1,2,2,2,1,2,2,2,1,1,2,2
24,5107,29,8.0,1,6,4,6,2,5,1,1,1,6,2,27,2,2,2,1,2,1,2,2,2,1,2,2,2,2,1,2,2
25,5107,35,5.0,1,6,4,6,7,5,1,2,1,6,23,127,2,2,2,2,2,1,1,2,1,1,2,2,2,2,1,2,2
26,5130,18,5.0,1,3,4,4,4,5,1,4,2,6,2,1278,2,2,2,1,2,1,2,2,1,1,2,2,2,2,1,1,2
27,5138,77,9.0,1,3,4,6,5,3,1,2,2,6,2,17,2,2,2,1,2,1,2,2,1,2,2,2,2,2,1,2,2
28,5154,12,6.0,1,3,3,6,7,5,1,3,3,6,2,127,2,1,2,1,2,1,2,2,1,1,2,2,2,2,1,2,2
29,5184,21,4.0,1,1,1,3,1,1,1,3,2,2,2,2567,2,2,2,2,2,1,2,2,2,1,2,2,1,1,1,2,2
30,5204,44,6.0,1,1,1,1,1,1,1,8,6,2,1234,123456789,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
31,5224,61,5.0,1,1,1,5,1,1,1,4,3,2,23,1279,2,2,2,2,2,1,1,2,1,1,2,2,2,2,1,2,1
32,5225,13,6.0,1,3,4,5,1,1,1,3,2,2,32,256789,2,2,2,1,2,1,1,2,2,1,2,2,1,1,1,1,1
33,5230,11,4.0,1,1,1,5,1,1,1,3,2,2,23,125679,2,1,2,2,2,1,1,2,1,1,2,2,1,1,1,2,1
34,5283,12,5.0,1,3,4,6,5,4,7,4,4,6,2,0,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
35,5298,79,4.0,1,3,4,5,7,5,1,4,2,6,2,128,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,1,2
36,5345,85,4.0,1,1,1,3,1,1,1,3,2,2,1234,23456789,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1
37,5473,68,5.0,1,1,1,2,1,1,1,2,1,2,234,123456789,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1
38,5500,80,4.0,2,1,1,2,1,1,1,3,2,2,234,1245678,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,2
39,5555,84,3.0,1,1,1,3,2,4,1,2,2,2,2,12679,2,2,2,2,2,1,2,2,1,1,2,2,2,1,1,2,1
40,5622,43,4.0,1,2,4,5,1,1,1,1,1,2,2,124678,1,2,2,2,2,1,2,2,1,1,2,1,2,1,1,1,2
41,5685,85,3.0,1,3,4,6,1,1,1,1,1,2,2,1278,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,1,2
42,5761,92,4.0,1,3,4,5,1,1,1,2,2,2,2,127,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2
43,5764,47,7.0,1,6,4,6,5,4,1,2,2,6,2,27,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2
44,5764,48,99.0,1,6,4,6,3,7,1,1,1,6,5,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
45,5764,48,9.0,1,6,4,6,3,7,1,1,1,6,5,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
46,5792,50,8.0,1,1,1,5,7,5,1,2,2,6,2,127,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2
47,5849,29,6.0,1,1,1,5,1,1,1,5,4,2,23,125678,1,2,1,2,2,1,1,2,1,1,2,2,1,1,1,1,2
48,5898,81,3.0,1,1,1,5,1,1,1,10,2,6,2,178,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2
49,5925,83,9.0,1,3,4,5,7,5,1,3,2,6,23,26,1,2,2,2,2,1,1,2,2,1,2,2,2,1,2,2,2
50,5952,27,4.0,1,3,4,6,2,4,1,2,2,6,1,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2
51,5952,28,4.0,1,3,4,5,5,5,1,2,2,6,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2
52,5952,63,5.0,1,3,4,6,5,4,1,3,2,6,2,12,2,2,2,1,2,1,2,2,1,1,2,2,2,2,2,2,2
53,5984,14,4.0,1,3,4,5,7,5,1,1,1,6,2,17,2,1,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2
54,6038,67,5.0,1,1,1,5,1,1,1,6,3,2,23,234567,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,2,2
55,6059,36,6.0,1,1,1,5,1,1,1,3,2,2,2,25678,2,2,2,2,2,1,2,2,2,1,2,2,1,1,1,1,2
56,6063,20,4.0,1,6,4,5,1,5,1,2,2,2,24,123456789,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1
57,6078,65,5.0,1,6,4,5,1,5,1,2,2,2,24,23456789,2,2,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1
58,6125,96,3.0,2,1,1,1,1,1,1,3,2,2,1234,123456789,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
59,6251,58,6.0,1,1,1,3,1,1,1,3,3,2,2,123456789,2,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1
60,6266,86,4.0,1,3,4,6,1,1,1,2,1,2,2,1278,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,1,2
61,6287,77,5.0,1,5,7,6,7,5,1,1,1,6,5,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
62,6298,42,5.0,1,3,3,6,7,5,1,2,2,6,2,19,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,1
63,6343,32,8.0,1,3,4,5,2,2,1,3,2,8,23,1278,2,1,2,1,2,1,1,2,1,1,2,2,2,2,1,1,2
64,6343,56,4.0,1,3,4,5,2,2,1,1,1,2,2,127,1,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2
65,6417,28,5.0,1,3,3,6,6,4,1,4,2,6,2,27,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2
66,6421,45,4.0,1,3,4,4,1,2,1,1,1,2,2,1257,2,2,2,2,2,1,2,2,1,1,2,2,1,2,1,2,2
67,6483,81,6.0,1,3,4,6,1,1,1,6,3,6,2,127,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2
68,6507,44,3.0,1,1,1,3,1,1,1,3,1,2,234,1237,1,2,2,2,2,1,1,1,1,1,1,2,2,2,1,2,2
69,6546,23,5.0,1,1,4,5,1,1,1,4,3,2,23,1256789,2,1,1,2,2,1,1,2,1,1,2,2,1,1,1,1,1
70,6546,36,6.0,1,1,1,5,1,1,1,3,3,2,23,1256789,2,1,2,2,2,1,1,2,1,1,2,2,1,1,1,1,1
71,6569,45,7.0,1,1,1,5,4,5,1,1,1,6,23,27,2,2,2,2,2,1,1,2,2,1,2,2,2,2,1,2,2
72,6569,47,6.0,1,6,4,5,4,3,1,9,5,2,23,12678,2,2,2,2,2,1,1,2,1,1,2,2,2,1,1,1,2
73,6584,57,6.0,1,6,4,6,1,3,1,4,3,6,2,9,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1
74,6602,42,5.0,5,3,4,6,3,3,5,2,1,6,5,0,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
75,6602,42,4.0,5,3,4,6,3,3,5,2,1,6,5,0,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
76,6602,44,5.0,5,3,4,6,3,5,1,2,1,6,5,12,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2
77,6621,94,5.0,1,3,3,6,1,5,1,4,2,6,2,127,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2
78,6643,24,5.0,1,6,7,4,5,5,7,4,3,6,5,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
79,6651,55,4.0,1,3,4,6,5,5,1,2,1,6,2,27,2,1,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2
80,6740,27,6.0,1,1,1,3,1,1,1,2,2,3,1234,2356789,2,2,2,2,1,1,1,1,2,1,1,2,1,1,1,1,1
81,6788,61,6.0,6,8,9,5,7,7,7,1,1,2,23,27,2,2,2,2,2,1,1,2,2,1,2,2,2,2,1,2,2
82,6792,91,4.0,1,8,4,6,1,1,1,1,1,2,23,25678,2,2,1,1,2,1,1,2,2,1,2,2,1,1,1,1,2
83,6798,63,5.0,1,1,5,5,1,1,1,6,6,2,234,27,1,2,2,2,2,1,1,1,2,1,2,2,2,2,1,2,2
84,6807,45,5.0,1,1,5,5,1,1,1,3,3,2,23,2467,2,2,2,2,2,1,1,2,2,1,2,1,2,1,1,2,2
85,6809,81,6.0,1,8,6,6,2,1,1,3,1,2,2,2678,2,2,1,2,2,1,2,2,2,1,2,2,2,1,1,1,2
86,6843,22,4.0,1,1,1,3,1,1,1,2,2,2,2,126789,2,2,2,2,2,1,2,2,1,1,2,2,2,1,1,1,1
87,6843,53,8.0,1,1,1,5,1,1,1,4,3,2,1234,123456789,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
88,6850,35,5.0,1,4,6,5,4,5,1,3,2,2,23,1279,2,1,2,2,2,1,1,2,1,1,2,2,2,2,1,2,1
89,6905,97,4.0,1,1,1,3,1,1,1,5,3,2,2,2456789,2,1,1,2,2,1,2,2,2,1,2,1,1,1,1,1,1
90,6960,98,99.0,1,1,4,5,1,1,1,5,4,2,23,1235678,2,1,2,1,2,1,1,2,1,1,1,2,1,1,1,1,2
91,6960,98,7.0,1,1,4,5,1,1,1,5,4,2,23,1235678,2,1,2,1,2,1,1,2,1,1,1,2,1,1,1,1,2
92,7033,42,6.0,1,3,3,6,1,5,1,1,1,2,2,17,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2
93,7145,61,2.0,1,3,1,2,1,2,1,2,1,2,124,23456710,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,2,2
94,7145,97,5.0,1,3,4,6,2,2,1,2,2,2,2,25678,2,2,2,2,2,1,2,2,2,1,2,2,1,1,1,1,2
95,7158,13,4.0,1,1,1,5,1,1,1,1,1,2,2,27,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2
96,7180,96,5.0,1,1,1,3,1,1,1,4,3,2,23,12456789,2,2,2,2,2,1,1,2,1,1,2,1,1,1,1,1,1
97,7207,42,4.0,1,1,5,5,1,1,1,3,1,2,2,2678,2,2,2,1,2,1,2,2,2,1,2,2,2,1,1,1,2
98,7207,86,3.0,1,1,1,5,1,1,1,3,1,2,1234,126789,1,1,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1
99,7246,25,3.0,1,3,4,6,1,1,1,3,1,6,5,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
100,7246,60,4.0,1,3,4,6,5,3,1,3,2,6,2,12,2,1,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2
101,7248,87,7.0,1,3,3,6,5,7,1,2,2,6,2,12,2,2,2,1,2,1,2,2,1,1,2,2,2,2,2,2,2
102,7248,88,99.0,1,3,3,6,7,5,1,3,3,6,2,127,2,2,2,1,2,1,2,2,1,1,2,2,2,2,1,2,2
103,7248,88,5.0,1,3,3,6,7,5,1,3,3,6,2,127,2,2,2,1,2,1,2,2,1,1,2,2,2,2,1,2,2
104,7279,76,99.0,1,3,4,6,2,3,7,2,1,6,5,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
105,7279,76,4.0,1,3,4,6,2,3,7,2,1,6,5,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
106,7302,23,5.0,1,1,1,5,1,1,1,5,4,2,2,256789,1,2,1,2,2,1,2,2,2,1,2,2,1,1,1,1,1
107,7333,8,99.0,1,1,1,5,1,1,1,1,1,2,2,7,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2
108,7397,55,6.0,1,3,5,5,1,1,1,6,3,2,23,6789,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,1,1
109,7439,30,6.0,1,1,4,5,1,1,1,4,3,2,124,23789,2,1,2,2,1,1,2,1,2,1,1,2,2,2,1,1,1
110,7460,60,4.0,1,3,4,5,7,5,1,1,1,6,2,167,1,2,2,2,2,1,2,2,1,2,2,2,2,1,1,2,2
111,7529,60,6.0,1,1,1,3,1,1,1,4,2,2,23,2678,2,2,2,2,2,1,1,2,2,1,2,2,2,1,1,1,2
112,7529,80,5.0,1,1,4,5,1,1,1,3,2,2,1234,123456789,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
113,7541,23,3.0,1,1,1,3,1,1,1,2,2,3,2,27,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2
114,7567,87,6.0,1,6,4,5,2,5,1,3,3,2,2,279,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,1
115,7818,44,5.0,1,1,1,5,1,1,1,5,3,2,1234,12345678,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2
116,7888,80,4.0,4,1,1,3,1,1,1,5,3,2,234,123456789,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1
117,7921,50,5.0,1,1,1,5,1,1,1,3,2,3,2,1267,1,2,2,2,2,1,2,2,1,1,2,2,2,1,1,2,2
118,7960,80,4.0,1,1,4,5,1,1,1,3,2,2,2,1256789,2,2,2,2,2,1,2,2,1,1,2,2,1,1,1,1,1
119,7977,31,6.0,1,1,1,3,1,1,1,5,4,2,1234,2345678,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2
120,7992,38,8.0,1,3,5,5,1,1,1,5,3,2,1234,126789,2,2,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1
121,8110,83,5.0,1,6,4,6,1,5,1,3,2,2,2,2678,2,2,2,1,2,1,2,2,2,1,2,2,2,1,1,1,2
122,8120,26,7.0,1,3,5,5,1,1,1,5,3,2,234,236789,2,2,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
123,8131,93,5.0,1,3,4,5,5,5,6,2,2,6,32,27,1,2,2,2,2,1,1,2,2,1,2,2,2,2,1,2,2
124,8188,47,4.0,1,6,4,4,6,5,1,1,1,2,23,26789,2,2,2,2,2,1,1,2,2,1,2,2,2,1,1,1,1
125,8188,96,4.0,1,6,4,4,6,5,1,3,2,2,2,267,2,2,2,2,2,1,2,2,2,1,2,2,2,1,1,2,2
126,8281,19,9.0,1,1,4,5,1,1,1,4,3,2,23,12378,2,1,2,2,2,1,1,2,1,1,1,2,2,2,1,1,2
127,8281,19,6.0,1,1,4,5,1,1,1,4,3,2,23,12378,2,1,2,2,2,1,1,2,1,1,1,2,2,2,1,1,2
128,8282,73,4.0,1,8,4,6,1,1,1,2,1,6,2,0,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
129,8305,49,8.0,1,6,4,5,7,1,1,3,2,6,2,127,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2
130,8305,49,7.0,1,6,4,5,7,1,1,3,2,6,2,127,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2
131,8307,39,99.0,5,6,7,4,3,5,6,2,2,6,2,0,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
132,8307,39,6.0,5,6,7,4,3,5,6,2,2,6,2,0,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
133,8315,46,5.0,1,6,4,4,5,5,1,2,1,6,2,27,2,2,2,1,2,1,2,2,2,1,2,2,2,2,1,2,2
134,8315,52,8.0,1,6,4,4,5,5,7,5,5,6,2,6,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2
135,8317,3,99.0,1,6,4,4,5,5,1,1,1,6,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2
136,8317,68,99.0,1,6,4,4,7,5,7,4,3,6,5,12,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2
137,8317,68,7.0,1,6,4,4,7,5,7,4,3,6,5,12,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2
138,8327,64,7.0,1,6,7,4,5,4,7,2,1,6,2,12,2,2,2,1,2,1,2,2,1,1,2,2,2,2,2,2,2
139,8327,68,5.0,1,6,4,6,5,7,7,2,1,6,5,0,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
140,8335,42,8.0,1,6,4,4,2,5,1,1,1,6,5,0,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
141,8335,42,7.0,1,6,4,4,2,5,1,1,1,6,5,0,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
142,8342,37,7.0,1,6,4,4,5,7,1,2,2,6,3,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2
143,8368,55,5.0,1,1,4,5,1,1,1,2,2,2,234,123456789,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
144,8461,34,3.0,1,8,4,6,7,5,5,1,1,2,2,7,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2
145,8478,52,4.0,1,1,1,3,1,1,1,5,3,2,1234,12356789,2,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1
146,8615,82,6.0,1,1,4,4,1,1,1,3,3,2,2,2356789,2,2,2,2,2,1,2,2,2,1,1,2,1,1,1,1,1
147,8615,93,6.0,1,1,4,5,7,7,7,1,1,2,2,267,2,2,2,2,2,1,2,2,2,1,2,2,2,1,1,2,2
148,8686,27,4.0,1,6,2,4,2,5,1,1,1,2,5,27,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2
149,8694,61,5.0,1,3,4,6,7,4,1,3,2,6,2,279,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,1
150,8707,82,5.0,1,8,4,6,5,5,7,3,2,8,2,1,2,1,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2
151,8729,65,4.0,1,6,4,5,7,3,1,3,2,2,23,67,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,2,2
152,8729,67,6.0,1,6,4,5,7,3,1,3,2,6,3,127,2,2,2,2,2,2,1,2,1,1,2,2,2,2,1,2,2
153,8756,64,7.0,1,1,4,5,1,1,1,3,2,2,1234,2346789,2,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1
154,8793,47,5.0,1,1,1,1,1,1,1,5,3,2,1234,235678,1,2,1,2,1,1,1,1,2,1,1,2,1,1,1,1,2
155,8811,31,99.0,1,6,4,5,1,1,1,4,3,2,23,27,1,2,2,2,2,1,1,2,2,1,2,2,2,2,1,2,2
