,CONGLOME,VIVIENDA,ID,P101,P102,P103,P104,P105,P106,P107,P108,P109,P110,P111,P112,P113_BICICLETA,P113_MOTOCICLETA,P113_CARRO,P113_OTRO,P111_TEL_FIJO,P111_TEL_CELULAR,P111_CABLE,P111_INTERNET,P112_RADIO,P112_TELEVISOR,P112_COMPUTADORA,P112_HORNO,P112_LAVADORA,P112_REFRIGERADORA,P112_COCINA,P112_PLANCHA,P112_EQUIPO
156,8811,31,8.0,1,6,4,5,1,1,1,4,3,2,23,27,1,2,2,2,2,1,1,2,2,1,2,2,2,2,1,2,2
157,8831,57,4.0,1,7,4,6,2,2,1,1,1,5,2,0,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
158,8857,71,5.0,1,3,4,6,7,5,1,3,2,6,2,278,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,1,2
159,8900,7,99.0,1,1,4,6,1,7,1,2,1,2,2,127,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2
160,8900,95,8.0,1,7,5,6,7,7,5,1,1,5,2,0,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
161,8013,39,7.0,1,1,1,5,1,1,1,5,3,2,1234,23456789,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
162,8918,91,7.0,1,8,4,6,6,5,1,5,4,6,2,1267,2,2,2,1,2,1,2,2,1,1,2,2,2,1,1,2,2
163,8965,38,4.0,2,1,1,1,1,1,1,5,4,2,1234,123456789,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
164,9024,51,5.0,1,1,1,5,1,1,1,1,1,2,2,178,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2
165,9054,65,7.0,1,3,4,6,4,5,1,3,2,8,2,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2
166,9054,86,5.0,1,3,4,6,4,5,1,2,1,8,2,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2
167,9063,71,6.0,1,3,7,6,4,5,1,2,2,8,2,1,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2
168,9073,40,6.0,1,3,4,6,4,5,1,2,1,8,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2
169,9173,93,5.0,1,3,4,6,1,1,1,5,2,2,23,267,2,2,2,2,2,1,1,2,2,1,2,2,2,1,1,2,2
170,9184,22,3.0,1,4,4,6,1,5,1,1,1,2,5,27,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2
171,9194,73,5.0,1,6,4,6,5,4,1,3,2,6,2,127,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2
172,9232,99,4.0,1,3,4,3,1,1,1,3,2,2,234,23456789,2,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1
173,9233,32,4.0,1,1,1,2,1,1,1,4,3,2,1234,2356789,1,1,2,2,1,1,1,1,2,1,1,2,1,1,1,1,1
174,9249,39,7.0,1,3,4,6,3,5,1,2,2,2,2,7,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2
175,9272,76,5.0,1,3,4,6,1,2,1,1,1,2,23,267,2,1,2,2,2,1,1,2,2,1,2,2,2,1,1,2,2
176,9274,43,6.0,1,4,4,5,1,1,1,2,1,2,23,12578,2,2,2,2,2,1,1,2,1,1,2,2,1,2,1,1,2
177,9317,78,4.0,1,1,1,3,1,1,1,3,2,2,23,4578,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,1,2
178,9337,9,99.0,1,6,4,5,1,1,1,2,1,2,2,257,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2
179,9338,58,5.0,1,1,3,1,1,1,2,2,2,2,124,123456789,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1
180,9342,58,7.0,1,1,1,3,1,1,1,2,1,2,1234,123456789,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
181,9400,41,6.0,1,1,4,6,3,5,1,2,1,2,2,127,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2
182,9445,30,6.0,1,3,4,6,1,1,1,3,3,2,2,17,2,1,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2
183,9450,83,6.0,1,8,4,6,6,7,1,3,3,2,2,2567,1,2,2,2,2,1,2,2,2,1,2,2,1,1,1,2,2
184,9450,85,2.0,1,8,4,5,6,5,1,1,1,2,23,267,2,2,2,2,2,1,1,2,2,1,2,2,2,1,1,2,2
185,9478,63,6.0,1,1,4,5,1,1,1,3,2,2,23,1256789,2,1,2,2,2,1,1,2,1,1,2,2,1,1,1,1,1
186,9508,62,6.0,1,1,1,3,1,1,1,4,2,2,234,1234689,1,2,2,2,2,1,1,1,1,1,1,1,2,1,2,1,1
187,9568,21,4.0,1,3,4,5,1,1,1,3,2,2,2,2678,2,1,2,2,2,1,2,2,2,1,2,2,2,1,1,1,2
188,9601,10,8.0,1,3,4,6,2,5,1,4,3,6,2,167,2,1,2,2,2,1,2,2,1,2,2,2,2,1,1,2,2
189,9601,10,7.0,1,3,4,6,2,5,1,4,3,6,2,167,2,1,2,2,2,1,2,2,1,2,2,2,2,1,1,2,2
190,9607,55,4.0,1,6,4,5,1,2,1,4,3,2,2,12356789,2,1,2,2,2,1,2,2,1,1,1,2,1,1,1,1,1
191,9639,33,4.0,1,1,4,5,1,1,1,4,2,2,1234,25678,2,1,2,2,1,1,1,1,2,1,2,2,1,1,1,1,2
192,9695,97,6.0,1,1,4,2,1,1,1,2,1,2,23,2789,2,1,2,2,2,1,1,2,2,1,2,2,2,2,1,1,1
193,9735,50,5.0,1,6,4,4,1,5,1,5,2,2,23,12679,2,1,2,2,2,1,1,2,1,1,2,2,2,1,1,2,1
194,9827,29,5.0,1,2,4,3,1,1,1,4,2,2,2,123678,1,2,2,2,2,1,2,2,1,1,1,2,2,1,1,1,2
195,10012,63,7.0,1,1,1,3,1,1,1,5,4,2,1234,236789,1,1,2,1,1,1,1,1,2,1,1,2,2,1,1,1,1
196,10060,52,4.0,1,3,4,6,1,5,1,4,3,2,2,127,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2
197,10111,55,5.0,1,1,2,5,7,3,1,3,1,2,23,267,2,2,2,2,2,1,1,2,2,1,2,2,2,1,1,2,2
198,10122,30,6.0,1,1,5,5,1,1,1,3,3,2,2,26789,1,2,2,2,2,1,2,2,2,1,2,2,2,1,1,1,1
199,10210,45,3.0,1,6,4,5,1,1,1,2,1,2,23,1245678,2,2,2,2,2,1,1,2,1,1,2,1,1,1,1,1,2
200,10323,48,7.0,1,1,4,5,1,4,1,4,3,2,234,236789,1,1,2,2,2,1,1,1,2,1,1,2,2,1,1,1,1
201,10327,90,6.0,1,3,4,6,7,4,1,2,2,2,5,1278,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2
202,10327,91,99.0,1,3,4,6,7,4,1,4,3,6,2,17,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2
203,10327,91,7.0,1,3,4,6,7,4,1,4,3,6,2,17,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2
204,10359,30,5.0,1,6,4,5,2,5,1,1,1,2,23,25678,2,1,2,2,2,1,1,2,2,1,2,2,1,1,1,1,2
205,10380,11,7.0,1,6,4,5,1,1,1,5,3,2,234,12789,2,2,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1
206,10380,55,5.0,1,1,4,5,1,1,1,4,2,6,24,256789,2,2,2,2,2,1,2,1,2,1,2,2,1,1,1,1,1
207,5013,139,6.0,1,3,1,5,1,1,1,5,4,2,234,123456789,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
208,5074,160,99.0,1,6,7,6,4,5,7,1,1,6,5,0,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
209,5074,160,6.0,1,6,7,6,4,5,7,1,1,6,5,0,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
210,5074,80,99.0,1,6,7,4,5,7,6,1,1,6,5,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
211,5241,106,4.0,1,7,5,6,4,5,1,1,1,2,23,279,2,2,2,2,2,1,1,2,2,1,2,2,2,2,1,2,1
212,5286,103,5.0,1,3,4,5,1,1,1,7,5,6,2,127,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2
213,5435,208,4.0,1,3,3,6,1,1,1,3,3,6,2,17,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2
214,5451,132,4.0,1,3,4,6,2,2,1,3,1,6,2,17,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2
215,5567,100,4.0,1,1,1,5,1,1,1,2,2,2,2,12789,2,2,1,2,2,1,2,2,1,1,2,2,2,2,1,1,1
216,5785,244,4.0,1,3,3,6,5,5,1,4,2,6,2,0,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
217,5785,250,6.0,1,3,3,5,5,4,1,3,2,6,2,12678,2,1,2,2,2,1,2,2,1,1,2,2,2,1,1,1,2
218,5810,129,5.0,1,3,4,6,1,5,1,3,1,8,2,0,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
219,5933,112,6.0,1,5,4,6,7,5,1,3,3,6,5,12,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2
220,5938,138,5.0,1,2,4,6,2,4,1,5,3,6,2,0,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
221,5978,159,5.0,1,3,4,6,1,5,1,3,2,6,23,278,2,1,2,1,2,1,1,2,2,1,2,2,2,2,1,1,2
222,6065,45,99.0,1,6,4,5,2,2,1,3,2,2,2,236789,2,1,2,2,2,1,2,2,2,1,1,2,2,1,1,1,1
223,6092,139,4.0,1,4,2,5,1,1,1,2,1,2,2,2579,2,1,2,2,2,1,2,2,2,1,2,2,1,2,1,2,1
224,6141,110,4.0,1,1,4,5,1,1,1,2,2,2,2,125678,1,2,2,2,2,1,2,2,1,1,2,2,1,1,1,1,2
225,6195,68,99.0,1,1,1,3,1,1,1,3,2,2,23,1279,2,2,2,2,2,1,1,2,1,1,2,2,2,2,1,2,1
226,6207,110,4.0,1,3,3,4,1,1,1,1,1,2,1234,12378,1,2,2,2,1,1,1,1,1,1,1,2,2,2,1,1,2
227,6298,107,3.0,1,3,3,6,7,3,1,3,2,6,123,1267,1,2,2,2,1,1,1,2,1,1,2,2,2,1,1,2,2
228,6417,181,6.0,1,3,5,6,1,1,1,4,2,6,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2
229,6483,225,6.0,1,3,4,5,2,5,1,3,3,6,2,0,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
230,6569,137,4.0,1,6,4,5,4,5,1,2,1,2,3,127,2,1,2,2,2,2,1,2,1,1,2,2,2,2,1,2,2
231,6572,114,99.0,1,3,7,6,2,5,1,5,4,6,2,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2
232,6572,114,8.0,1,3,7,6,2,5,1,5,4,6,2,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2
233,6572,118,5.0,1,3,4,6,2,5,1,3,2,6,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2
234,6713,112,4.0,1,1,1,3,1,1,1,2,1,2,1234,12345789,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1
235,6740,108,3.0,1,1,1,5,1,1,5,2,1,3,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2
236,6788,146,4.0,1,7,5,5,2,2,1,1,1,2,23,12578,2,2,2,2,2,1,1,2,1,1,2,2,1,2,1,1,2
237,6866,81,99.0,1,3,5,5,4,5,1,2,1,2,2,12378,2,1,2,2,2,1,2,2,1,1,1,2,2,2,1,1,2
238,7041,301,5.0,1,3,3,5,7,1,1,5,5,2,23,23456789,2,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1
239,7087,126,5.0,1,1,1,5,1,1,1,4,3,2,2,236788,1,2,2,2,2,1,2,2,2,1,1,2,2,1,1,1,2
240,7108,101,5.0,1,3,4,5,1,1,1,3,2,3,124,1235678,1,2,2,2,1,1,2,1,1,1,1,2,1,1,1,1,2
241,7145,115,3.0,1,3,4,6,1,1,1,1,1,2,2,278,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,1,2
242,7182,89,99.0,1,1,3,3,1,1,1,5,3,2,1234,123456789,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
243,7208,112,4.0,1,1,1,5,1,1,1,1,1,2,2,278,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,1,2
244,7236,196,7.0,1,1,4,6,1,5,1,4,3,2,23,126789,2,2,2,1,2,1,1,2,1,1,2,2,2,1,1,1,1
245,7326,109,5.0,1,1,1,3,1,1,1,4,3,2,1234,23456789,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1
246,7339,136,7.0,1,1,1,3,1,1,1,3,2,2,234,2678,2,2,2,2,2,1,1,1,2,1,2,2,2,1,1,1,2
247,7442,373,5.0,1,3,4,6,1,5,1,2,1,2,2,1267,1,2,2,2,2,1,2,2,1,1,2,2,2,1,1,2,2
248,7443,165,9.0,1,3,4,6,2,5,1,3,2,6,2,12,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2
249,7446,127,99.0,1,3,6,3,2,3,1,6,4,2,2,2789,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,1,1
250,7446,127,8.0,1,3,6,3,2,3,1,6,4,2,2,2789,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,1,1
251,7564,29,99.0,1,1,1,3,1,1,1,3,2,2,23,1245678,2,2,2,2,2,1,1,2,1,1,2,1,1,1,1,1,2
252,7571,152,4.0,1,1,1,5,2,2,1,1,1,2,2,27,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2
253,7605,104,4.0,1,6,4,5,1,1,1,5,4,2,1234,23456789,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1
254,8034,114,7.0,1,1,4,5,1,1,1,4,2,1,123,1256789,2,2,2,2,1,1,1,2,1,1,2,2,1,1,1,1,1
255,8188,128,9.0,1,6,4,4,6,5,1,4,4,2,23,2679,2,2,2,2,2,1,1,2,2,1,2,2,2,1,1,2,1
256,8201,157,3.0,1,1,4,5,1,1,1,3,1,2,23,1235678,2,1,2,2,2,1,1,2,1,1,1,2,1,1,1,1,2
257,8201,175,6.0,3,1,4,5,1,1,1,2,2,2,23,279,2,1,2,2,2,1,1,2,2,1,2,2,2,2,1,2,1
258,8217,79,99.0,1,1,4,5,1,1,1,2,2,2,2,2678,2,2,2,1,2,1,2,2,2,1,2,2,2,1,1,1,2
259,8238,122,99.0,1,1,4,4,1,1,1,4,3,6,23,256,2,1,2,2,2,1,1,2,2,1,2,2,1,1,2,2,2
260,8238,122,4.0,1,1,4,4,1,1,1,4,3,6,23,256,2,1,2,2,2,1,1,2,2,1,2,2,1,1,2,2,2
261,8245,102,6.0,1,1,4,5,1,1,1,4,3,2,1234,1235678,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2
262,8281,76,99.0,1,6,4,6,4,3,1,3,2,6,23,27,1,1,2,2,2,1,1,2,2,1,2,2,2,2,1,2,2
263,8307,114,7.0,5,6,4,4,3,5,6,4,4,2,23,127,1,2,2,2,2,1,1,2,1,1,2,2,2,2,1,2,2
264,8318,100,8.0,1,8,7,7,5,7,7,1,1,6,5,9,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1
265,8327,66,10.0,1,6,7,6,5,5,7,1,1,6,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2
266,8330,106,7.0,1,6,4,5,1,6,1,3,2,6,23,127,2,1,2,2,2,1,1,2,1,1,2,2,2,2,1,2,2
267,8335,136,7.0,1,6,7,4,5,7,1,2,2,6,2,0,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2
268,8335,137,6.0,1,6,7,4,5,7,1,2,2,6,2,0,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2
269,8440,199,3.0,1,1,4,5,2,2,1,1,1,2,2,79,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1
270,8509,142,5.0,1,1,1,5,1,1,1,5,3,2,2,1245678,2,2,2,2,2,1,2,2,1,1,2,1,1,1,1,1,2
271,8596,102,9.0,1,3,4,6,1,4,1,2,1,2,2,7,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2
272,8671,123,6.0,1,2,4,4,1,1,1,2,1,2,234,123789,1,1,1,2,2,1,1,1,1,1,1,2,2,2,1,1,1
273,8671,36,99.1,1,1,4,4,2,2,1,2,1,2,2,2379,2,1,2,2,2,1,2,2,2,1,1,2,2,2,1,2,1
274,8671,36,99.2,1,1,4,4,2,2,1,2,1,2,2,2379,2,1,2,2,2,1,2,2,2,1,1,2,2,2,1,2,1
275,8757,108,5.0,2,1,1,3,4,1,1,4,2,2,23,12356789,2,2,2,2,2,1,1,2,1,1,1,2,1,1,1,1,1
276,8770,114,99.0,1,1,4,5,1,1,1,1,1,2,2,12,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2
277,8770,114,3.0,1,1,4,5,1,1,1,1,1,2,2,12,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2
278,8846,129,4.0,1,1,1,5,1,1,1,4,3,2,2,12789,2,1,2,2,2,1,2,2,1,1,2,2,2,2,1,1,1
279,8916,135,6.0,1,3,4,6,5,4,1,3,2,6,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2
280,8918,220,4.0,1,8,4,6,5,5,1,2,1,5,2,167,2,1,2,2,2,1,2,2,1,2,2,2,2,1,1,2,2
281,9188,120,4.0,1,1,4,6,2,5,1,2,1,6,23,7,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2
282,9258,55,99.0,1,1,4,5,1,1,1,3,2,2,23,123456789,2,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1
283,9286,108,4.0,1,6,7,6,7,5,5,1,1,6,2,17,2,2,2,1,2,1,2,2,1,2,2,2,2,2,1,2,2
284,9286,114,5.0,1,6,4,6,5,5,7,1,1,6,2,1,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2
285,9342,127,6.0,1,1,1,2,1,1,1,4,3,2,23,25678,2,2,1,2,2,1,1,2,2,1,2,2,1,1,1,1,2
286,9507,49,5.0,1,1,1,3,1,1,1,3,2,2,23,123489,1,2,2,2,2,1,1,2,1,1,1,1,2,2,2,1,1
287,9639,88,99.0,1,6,4,6,1,1,1,4,3,2,23,2679,2,2,2,2,2,1,1,2,2,1,2,2,2,1,1,2,1
288,9650,55,99.0,1,6,4,5,1,1,1,1,1,2,23,25678,2,2,2,2,2,1,1,2,2,1,2,2,1,1,1,1,2
289,9659,116,5.0,1,6,4,5,1,1,1,4,3,2,24,123456789,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1
290,9684,109,6.0,1,6,4,5,1,5,1,4,3,6,2,2689,2,2,2,2,2,1,2,2,2,1,2,2,2,1,2,1,1
291,9719,170,4.0,1,6,4,6,1,2,1,3,1,2,23,2678,2,1,2,2,2,1,1,2,2,1,2,2,2,1,1,1,2
292,9731,130,3.0,1,1,4,5,1,5,1,1,1,2,23,23678,2,1,2,2,2,1,1,2,2,1,1,2,2,1,1,1,2
293,9740,133,7.0,1,6,4,4,4,5,1,3,2,6,2,128,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,1,2
294,9740,135,4.0,1,6,7,4,1,3,1,1,1,2,23,1267,2,1,2,2,2,1,1,2,1,1,2,2,2,1,1,2,2
295,9740,55,99.0,1,6,4,4,7,7,1,1,1,6,3,126,2,1,2,2,2,2,1,2,1,1,2,2,2,1,2,2,2
296,9770,117,6.0,1,6,7,4,4,7,7,2,1,6,2,0,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2
297,9820,19,99.0,1,6,2,5,1,1,1,3,2,2,2,12678,2,2,2,2,2,1,2,2,1,1,2,2,2,1,1,1,2
298,10060,132,4.0,1,3,4,6,1,1,1,2,1,2,2,127,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2
299,10122,114,9.0,1,7,6,6,1,1,1,7,5,2,2,278,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,1,2
300,10150,83,99.0,1,6,4,5,5,5,1,3,3,6,5,126,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2
301,10175,113,4.0,1,3,4,5,7,1,1,3,1,2,23,256789,2,2,2,2,2,1,1,2,2,1,2,2,1,1,1,1,1
302,10176,137,4.0,1,3,4,6,1,1,1,3,2,2,2,1278,1,2,2,2,2,1,2,2,1,1,2,2,2,2,1,1,2
303,10254,157,4.0,1,1,1,5,1,1,1,6,3,2,23,12456789,2,2,2,2,2,1,1,2,1,1,2,1,1,1,1,1,1
304,10359,133,6.0,1,6,4,5,4,5,1,2,1,6,2,27,2,2,2,1,2,1,2,2,2,1,2,2,2,2,1,2,2
305,10371,101,3.0,1,1,4,5,1,1,1,2,2,2,2,1236789,2,2,2,2,2,1,2,2,1,1,1,2,2,1,1,1,1
306,5392,168,99.0,1,3,4,6,1,2,1,3,3,6,2,12,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2
307,6569,127,99.0,1,1,4,5,4,5,1,1,1,2,23,2467,2,2,2,2,2,1,1,2,2,1,2,1,2,1,1,2,2
308,7241,214,99.0,1,3,4,6,5,5,1,2,1,2,2,279,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,1
309,7541,123,99.0,1,1,1,3,1,1,1,5,3,3,2,1235678,2,2,2,2,2,1,2,2,1,1,1,2,1,1,1,1,2
310,9040,138,99.0,1,3,4,6,2,4,1,3,2,2,2,7,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2
311,9719,109,99.0,1,6,4,5,1,5,1,2,1,2,23,12678,2,2,2,1,2,1,1,2,1,1,2,2,2,1,1,1,2
312,10122,114,11.0,1,7,6,6,1,1,1,7,5,2,2,278,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,1,2
313,10183,117,99.0,1,3,5,5,2,6,1,1,1,2,2,78,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2
