,CONGLOME,VIVIENDA,ID,P367,P368_TIEMPO,P368_HORAS,P368_DIAS,P369,P370_MESES,P370_NS,P371,P371_AGUA,P371_FORMULA,P371_LECHE_ENVASADA,P371_LECHE_VACA,P371_JUGO,P371_OTRO,P371_CALDOS,P371_NINGUNO
247,9274,43,6.0,1,2.0,1.0,,2.0,24.0,,136,1,2,1,2,2,1,2,2
248,9317,78,4.0,1,1.0,,,1.0,,,167,1,2,2,2,2,1,1,2
249,9337,9,99.0,1,2.0,3.0,,1.0,,,136,1,2,1,2,2,1,2,2
250,9338,58,5.0,1,2.0,2.0,,1.0,,,136,1,2,1,2,2,1,2,2
251,9342,13,3.0,1,1.0,,,1.0,,,1567,1,2,2,2,1,1,1,2
252,9342,58,7.0,1,1.0,,,1.0,,,123567,1,1,1,2,1,1,1,2
253,9400,41,6.0,1,1.0,,,2.0,15.0,,356,2,2,1,2,1,1,2,2
254,9404,31,5.0,1,2.0,12.0,,2.0,20.0,,1367,1,2,1,2,2,1,1,2
255,9445,30,6.0,1,2.0,2.0,,2.0,17.0,,16,1,2,2,2,2,1,2,2
256,9450,83,6.0,1,1.0,,,1.0,,,167,1,2,2,2,2,1,1,2
257,9450,85,2.0,1,2.0,3.0,,2.0,8.0,,67,2,2,2,2,2,1,1,2
258,9478,63,6.0,1,2.0,7.0,,2.0,12.0,,136,1,2,1,2,2,1,2,2
259,9508,62,6.0,1,3.0,,1.0,2.0,1.0,,13,1,2,1,2,2,2,2,2
260,9539,3,99.0,1,2.0,20.0,,1.0,,,8,2,2,2,2,2,2,2,1
261,9568,21,4.0,1,1.0,,,2.0,11.0,,167,1,2,2,2,2,1,1,2
262,9601,10,7.0,1,2.0,3.0,,2.0,6.0,,136,1,2,1,2,2,1,2,2
263,9601,10,8.0,1,2.0,3.0,,2.0,6.0,,136,1,2,1,2,2,1,2,2
264,9607,55,4.0,1,1.0,,,2.0,21.0,,1237,1,1,1,2,2,2,1,2
265,9638,64,6.0,1,1.0,,,2.0,20.0,,1367,1,2,1,2,2,1,1,2
266,9639,33,4.0,1,1.0,,,2.0,13.0,,135,1,2,1,2,1,2,2,2
267,9695,97,6.0,1,2.0,2.0,,2.0,,,1367,1,2,1,2,2,1,1,2
268,9719,3,99.0,1,2.0,1.0,,1.0,,,2,2,1,2,2,2,2,2,2
269,9735,50,5.0,1,1.0,,,1.0,,,1236,1,1,1,2,2,1,2,2
270,9736,33,5.0,1,1.0,,,2.0,14.0,,16,1,2,2,2,2,1,2,2
271,9736,33,6.0,1,1.0,,,2.0,11.0,,6,2,2,2,2,2,1,2,2
272,9740,56,3.0,1,1.0,,,1.0,,,1567,1,2,2,2,1,1,1,2
273,9770,15,6.0,1,2.0,1.0,,1.0,,,157,1,2,2,2,1,2,1,2
274,9827,29,5.0,1,3.0,,30.0,1.0,,,1357,1,2,1,2,1,2,1,2
275,9943,5,99.2,1,1.0,,,1.0,,,8,2,2,2,2,2,2,2,1
276,9943,5,99.1,1,2.0,1.0,,1.0,,,16,1,2,2,2,2,1,2,2
277,10012,63,7.0,1,2.0,4.0,,2.0,12.0,,137,1,2,1,2,2,2,1,2
278,10012,7,99.0,1,2.0,2.0,,1.0,,,36,2,2,1,2,2,1,2,2
279,10020,62,7.0,1,1.0,,,1.0,,,14567,1,2,2,1,1,1,1,2
280,10060,52,4.0,1,2.0,30.0,,1.0,,,156,1,2,2,2,1,1,2,2
281,10080,67,3.0,1,2.0,1.0,,1.0,,,137,1,2,1,2,2,2,1,2
282,10111,55,5.0,1,3.0,,7.0,1.0,,,56,2,2,2,2,1,1,2,2
283,10122,30,6.0,1,3.0,,7.0,2.0,12.0,,36,2,2,1,2,2,1,2,2
284,10122,44,7.0,1,3.0,,30.0,1.0,,,367,2,2,1,2,2,1,1,2
285,10210,45,3.0,1,1.0,,,1.0,,,1367,1,2,1,2,2,1,1,2
286,10323,48,7.0,1,1.0,,,2.0,1.0,,1356,1,2,1,2,1,1,2,2
287,10327,90,6.0,1,1.0,,,1.0,,,36,2,2,1,2,2,1,2,2
288,10327,91,7.0,1,1.0,,,2.0,9.0,,16,1,2,2,2,2,1,2,2
289,10359,30,5.0,1,2.0,22.0,,2.0,14.0,,1367,1,2,1,2,2,1,1,2
290,10380,11,7.0,1,2.0,2.0,,1.0,,,567,2,2,2,2,1,1,1,2
291,10380,55,5.0,1,2.0,3.0,,2.0,12.0,,1367,1,2,1,2,2,1,1,2
292,5013,139,6.0,1,2.0,2.0,,2.0,25.0,,12567,1,1,2,2,1,1,1,2
293,5074,157,8.0,1,1.0,,,2.0,12.0,,16,1,2,2,2,2,1,2,2
294,5074,160,6.0,1,2.0,1.0,,2.0,12.0,,16,1,2,2,2,2,1,2,2
295,5074,78,99.0,1,1.0,,,1.0,,,8,2,2,2,2,2,2,2,1
296,5074,80,99.0,1,1.0,,,1.0,,,67,2,2,2,2,2,1,1,2
297,5224,138,4.0,1,1.0,,,1.0,,,13567,1,2,1,2,1,1,1,2
298,5241,106,4.0,1,1.0,,,2.0,15.0,,1367,1,2,1,2,2,1,1,2
299,5286,103,5.0,1,1.0,,,1.0,,,167,1,2,2,2,2,1,1,2
300,5392,167,3.0,1,2.0,1.0,,2.0,20.0,,35,2,2,1,2,1,2,2,2
301,5408,119,7.0,1,1.0,,,1.0,,,167,1,2,2,2,2,1,1,2
302,5435,208,4.0,1,2.0,3.0,,2.0,16.0,,67,2,2,2,2,2,1,1,2
303,5451,132,4.0,1,2.0,4.0,,1.0,,,137,1,2,1,2,2,2,1,2
304,5567,100,5.0,1,1.0,,,2.0,19.0,,13567,1,2,1,2,1,1,1,2
305,5567,100,4.0,1,2.0,1.0,,1.0,,,36,2,2,1,2,2,1,2,2
306,5764,48,99.0,1,1.0,,,1.0,,,23,2,1,1,2,2,2,2,2
307,5767,101,7.0,1,1.0,,,1.0,,,13467,1,2,1,1,2,1,1,2
308,5785,241,4.0,1,1.0,,,1.0,,,1567,1,2,2,2,1,1,1,2
309,5785,244,4.0,1,1.0,,,1.0,,,16,1,2,2,2,2,1,2,2
310,5785,250,6.0,1,1.0,,,1.0,,,36,2,2,1,2,2,1,2,2
311,5810,129,5.0,1,2.0,1.0,,2.0,20.0,,167,1,2,2,2,2,1,1,2
312,5933,112,6.0,1,1.0,,,2.0,22.0,,147,1,2,2,1,2,2,1,2
313,5933,113,7.0,1,1.0,,,2.0,16.0,,467,2,2,2,1,2,1,1,2
314,5938,138,5.0,1,1.0,,,1.0,,,4,2,2,2,1,2,2,2,2
315,5978,159,5.0,1,1.0,,,2.0,18.0,,67,2,2,2,2,2,1,1,2
316,6065,45,99.0,1,2.0,1.0,,1.0,,,8,2,2,2,2,2,2,2,1
317,6092,139,4.0,1,2.0,12.0,,1.0,,,6,2,2,2,2,2,1,2,2
318,6095,19,12.0,1,2.0,4.0,,2.0,,,1367,1,2,1,2,2,1,1,2
319,6098,140,5.0,1,2.0,2.0,,2.0,0.0,,12567,1,1,2,2,1,1,1,2
320,6126,147,6.0,1,2.0,7.0,,2.0,2.0,,136,1,2,1,2,2,1,2,2
321,6141,110,4.0,1,2.0,1.0,,1.0,,,1,1,2,2,2,2,2,2,2
322,6179,159,4.0,1,2.0,2.0,,1.0,,,137,1,2,1,2,2,2,1,2
323,6195,68,99.0,1,1.0,,,2.0,6.0,,67,2,2,2,2,2,1,1,2
324,6207,110,4.0,1,2.0,1.0,,1.0,,,1,1,2,2,2,2,2,2,2
325,6292,65,99.0,1,1.0,,,1.0,,,8,2,2,2,2,2,2,2,1
326,6298,107,3.0,1,2.0,9.0,,2.0,8.0,,356,2,2,1,2,1,1,2,2
327,6314,199,6.0,1,1.0,,,1.0,,,67,2,2,2,2,2,1,1,2
328,6417,181,6.0,1,1.0,,,1.0,,,1356,1,2,1,2,1,1,2,2
329,6460,101,7.0,1,1.0,,,1.0,,,67,2,2,2,2,2,1,1,2
330,6483,225,6.0,1,2.0,2.0,,1.0,,,156,1,2,2,2,1,1,2,2
331,6483,72,99.0,1,1.0,,,1.0,,,8,2,2,2,2,2,2,2,1
332,6569,137,4.0,1,1.0,,,2.0,15.0,,16,1,2,2,2,2,1,2,2
333,6572,114,8.0,1,1.0,,,2.0,18.0,,15,1,2,2,2,1,2,2,2
334,6572,118,5.0,1,1.0,,,2.0,14.0,,7,2,2,2,2,2,2,1,2
335,6581,82,99.0,1,1.0,,,1.0,,,1,1,2,2,2,2,2,2,2
336,6595,143,6.0,1,2.0,3.0,,1.0,,,146,1,2,2,1,2,1,2,2
337,6597,166,5.0,1,1.0,,,2.0,16.0,,13,1,2,1,2,2,2,2,2
338,6651,194,4.0,1,2.0,1.0,,1.0,,,17,1,2,2,2,2,2,1,2
339,6651,194,7.0,1,2.0,2.0,,1.0,,,67,2,2,2,2,2,1,1,2
340,6652,102,5.0,1,1.0,,,1.0,,,67,2,2,2,2,2,1,1,2
341,6713,112,4.0,1,1.0,,,2.0,18.0,,346,2,2,1,1,2,1,2,2
342,6740,108,3.0,1,1.0,,,1.0,,,13467,1,2,1,1,2,1,1,2
343,6788,146,4.0,1,2.0,5.0,,2.0,0.0,,13567,1,2,1,2,1,1,1,2
344,6866,81,99.0,1,2.0,1.0,,1.0,,,6,2,2,2,2,2,1,2,2
345,6960,98,99.0,1,1.0,,,1.0,,,17,1,2,2,2,2,2,1,2
346,7002,49,99.0,1,1.0,,,1.0,,,6,2,2,2,2,2,1,2,2
347,7041,301,5.0,1,1.0,,,2.0,5.0,,267,2,1,2,2,2,1,1,2
348,7087,126,5.0,1,1.0,,,2.0,18.0,,123467,1,1,1,1,2,1,1,2
349,7108,101,5.0,2,,,,,,,127,1,1,2,2,2,2,1,2
350,7145,115,3.0,1,2.0,14.0,,2.0,12.0,,167,1,2,2,2,2,1,1,2
351,7182,89,99.0,1,2.0,2.0,,1.0,,,126,1,1,2,2,2,1,2,2
352,7208,112,4.0,1,2.0,2.0,,1.0,,,1367,1,2,1,2,2,1,1,2
353,7236,196,7.0,2,,,,,,,12,1,1,2,2,2,2,2,2
354,7241,211,6.0,1,2.0,8.0,,1.0,,,146,1,2,2,1,2,1,2,2
355,7248,88,99.0,1,2.0,5.0,,1.0,,,167,1,2,2,2,2,1,1,2
356,7253,77,99.0,1,3.0,,2.0,1.0,,,37,2,2,1,2,2,2,1,2
357,7279,76,99.0,1,1.0,,,1.0,,,8,2,2,2,2,2,2,2,1
358,7326,109,5.0,1,2.0,4.0,,2.0,12.0,,126,1,1,2,2,2,1,2,2
359,7339,136,7.0,1,2.0,7.0,,2.0,27.0,,167,1,2,2,2,2,1,1,2
360,7411,165,6.0,1,1.0,,,1.0,,,2567,2,1,2,2,1,1,1,2
361,7442,373,5.0,1,2.0,12.0,,2.0,18.0,,136,1,2,1,2,2,1,2,2
362,7443,165,9.0,1,1.0,,,2.0,21.0,,1,1,2,2,2,2,2,2,2
363,7446,126,5.0,1,2.0,4.0,,1.0,,,1367,1,2,1,2,2,1,1,2
364,7446,127,8.0,1,1.0,,,2.0,12.0,,135,1,2,1,2,1,2,2,2
365,7511,187,4.0,1,2.0,5.0,,2.0,16.0,,12567,1,1,2,2,1,1,1,2
366,7531,55,11.0,1,2.0,6.0,,2.0,18.0,,127,1,1,2,2,2,2,1,2
367,7549,67,99.0,1,1.0,,,1.0,,,8,2,2,2,2,2,2,2,1
368,7564,29,99.0,1,3.0,,3.0,1.0,,,2,2,1,2,2,2,2,2,2
369,7567,59,99.0,1,2.0,10.0,,1.0,,,125,1,1,2,2,1,2,2,2
370,7571,152,4.0,1,1.0,,,1.0,,,35,2,2,1,2,1,2,2,2
371,7577,153,4.0,1,2.0,4.0,,1.0,,,1256,1,1,2,2,1,1,2,2
372,7603,100,5.0,1,3.0,,45.0,1.0,,,135,1,2,1,2,1,2,2,2
373,7605,104,4.0,1,3.0,,3.0,1.0,,,137,1,2,1,2,2,2,1,2
374,7621,16,11.0,1,2.0,3.0,,1.0,,,136,1,2,1,2,2,1,2,2
375,7622,92,10.0,1,2.0,1.0,,1.0,,,1456,1,2,2,1,1,1,2,2
376,7628,156,3.0,1,2.0,2.0,,2.0,11.0,,147,1,2,2,1,2,2,1,2
377,7647,97,99.0,1,2.0,5.0,,1.0,,,8,2,2,2,2,2,2,2,1
378,7745,107,9.0,1,1.0,,,1.0,,,16,1,2,2,2,2,1,2,2
379,7898,190,4.0,1,2.0,8.0,,2.0,32.0,,1356,1,2,1,2,1,1,2,2
380,7921,103,5.0,1,2.0,10.0,,1.0,,,17,1,2,2,2,2,2,1,2
381,7962,12,99.0,1,2.0,1.0,,1.0,,,26,2,1,2,2,2,1,2,2
382,7992,132,7.0,1,3.0,,1.0,1.0,,,1367,1,2,1,2,2,1,1,2
383,8034,114,7.0,1,1.0,,,1.0,,,137,1,2,1,2,2,2,1,2
384,8188,128,9.0,1,2.0,1.0,,2.0,24.0,,1367,1,2,1,2,2,1,1,2
385,8201,157,3.0,1,1.0,,,2.0,13.0,,1257,1,1,2,2,1,2,1,2
386,8201,175,6.0,1,1.0,,,2.0,24.0,,67,2,2,2,2,2,1,1,2
387,8217,79,99.0,1,1.0,,,1.0,,,136,1,2,1,2,2,1,2,2
388,8238,122,4.0,1,3.0,,30.0,1.0,,,36,2,2,1,2,2,1,2,2
389,8245,102,6.0,2,,,,,,,126,1,1,2,2,2,1,2,2
390,8281,76,99.0,1,1.0,,,1.0,,,1,1,2,2,2,2,2,2,2
391,8307,114,7.0,1,2.0,2.0,,2.0,12.0,,17,1,2,2,2,2,2,1,2
392,8307,39,99.0,1,2.0,1.0,,1.0,,,8,2,2,2,2,2,2,2,1
393,8311,102,9.0,1,1.0,,,1.0,,,17,1,2,2,2,2,2,1,2
394,8317,68,99.0,1,2.0,2.0,,1.0,,,8,2,2,2,2,2,2,2,1
395,8318,100,8.0,1,2.0,1.0,,2.0,23.0,,3,2,2,1,2,2,2,2,2
396,8327,66,10.0,1,1.0,,,1.0,,,167,1,2,2,2,2,1,1,2
397,8330,106,7.0,1,2.0,3.0,,2.0,9.0,,135,1,2,1,2,1,2,2,2
398,8335,136,7.0,1,2.0,5.0,,2.0,14.0,,167,1,2,2,2,2,1,1,2
399,8335,137,6.0,1,3.0,,3.0,2.0,15.0,,367,2,2,1,2,2,1,1,2
400,8335,40,99.0,1,1.0,,,1.0,,,8,2,2,2,2,2,2,2,1
401,8440,199,3.0,1,3.0,,3.0,2.0,19.0,,16,1,2,2,2,2,1,2,2
402,8509,142,5.0,1,2.0,3.0,,2.0,2.0,,134,1,2,1,1,2,2,2,2
403,8596,102,9.0,1,3.0,,7.0,2.0,16.0,,17,1,2,2,2,2,2,1,2
404,8671,123,6.0,1,1.0,,,2.0,12.0,,267,2,1,2,2,2,1,1,2
405,8671,36,99.1,1,1.0,,,1.0,,,137,1,2,1,2,2,2,1,2
406,8671,36,99.2,1,2.0,1.0,,1.0,,,167,1,2,2,2,2,1,1,2
407,8676,149,8.0,1,1.0,,,1.0,,,13467,1,2,1,1,2,1,1,2
408,8676,65,99.0,1,1.0,,,1.0,,,8,2,2,2,2,2,2,2,1
409,8729,63,99.0,1,1.0,,,1.0,,,8,2,2,2,2,2,2,2,1
410,8757,108,5.0,1,2.0,4.0,,2.0,6.0,,136,1,2,1,2,2,1,2,2
411,8770,114,3.0,1,2.0,6.0,,2.0,12.0,,135,1,2,1,2,1,2,2,2
412,8811,31,99.0,1,1.0,,,1.0,,,136,1,2,1,2,2,1,2,2
413,8846,129,4.0,1,3.0,,2.0,2.0,12.0,,12567,1,1,2,2,1,1,1,2
414,8916,135,6.0,1,2.0,1.0,,2.0,18.0,,167,1,2,2,2,2,1,1,2
415,8918,218,6.0,1,2.0,1.0,,2.0,8.0,,367,2,2,1,2,2,1,1,2
416,8918,220,4.0,1,1.0,,,1.0,,,13,1,2,1,2,2,2,2,2
417,9049,200,5.0,1,2.0,20.0,,2.0,18.0,,367,2,2,1,2,2,1,1,2
418,9073,133,3.0,1,1.0,,,2.0,20.0,,67,2,2,2,2,2,1,1,2
419,9188,120,4.0,1,2.0,1.0,,1.0,,,167,1,2,2,2,2,1,1,2
420,9188,31,99.0,1,2.0,1.0,,1.0,,,8,2,2,2,2,2,2,2,1
421,9194,71,99.0,1,1.0,,,1.0,,,2,2,1,2,2,2,2,2,2
422,9257,105,6.0,1,1.0,,,2.0,0.0,,1367,1,2,1,2,2,1,1,2
423,9257,105,7.0,1,2.0,1.0,,2.0,12.0,,1357,1,2,1,2,1,2,1,2
424,9258,55,99.0,1,2.0,1.0,,2.0,11.0,,12376,1,1,1,2,2,1,1,2
425,9286,108,4.0,1,2.0,3.0,,2.0,24.0,,13,1,2,1,2,2,2,2,2
426,9286,114,5.0,1,2.0,1.0,,2.0,15.0,,36,2,2,1,2,2,1,2,2
427,9342,127,6.0,1,2.0,8.0,,1.0,,,13567,1,2,1,2,1,1,1,2
428,9400,70,99.0,1,1.0,,,1.0,,,8,2,2,2,2,2,2,2,1
429,9507,49,5.0,1,2.0,8.0,,2.0,7.0,,1235,1,1,1,2,1,2,2,2
430,9525,84,99.0,1,2.0,7.0,,2.0,5.0,,125,1,1,2,2,1,2,2,2
431,9639,88,99.0,1,2.0,2.0,,1.0,,,13,1,2,1,2,2,2,2,2
432,9650,55,99.0,1,2.0,2.0,,1.0,,,8,2,2,2,2,2,2,2,1
433,9659,116,5.0,1,1.0,,,2.0,16.0,,13567,1,2,1,2,1,1,1,2
434,9684,109,6.0,1,3.0,,1.0,2.0,12.0,,13567,1,2,1,2,1,1,1,2
435,9719,170,4.0,1,3.0,,1.0,2.0,17.0,,1256,1,1,2,2,1,1,2,2
436,9731,126,5.0,1,1.0,,,1.0,,,17,1,2,2,2,2,2,1,2
437,9731,130,3.0,1,1.0,,,1.0,,,167,1,2,2,2,2,1,1,2
438,9736,105,4.0,1,2.0,2.0,,1.0,,,136,1,2,1,2,2,1,2,2
439,9736,105,5.0,1,2.0,2.0,,1.0,,,136,1,2,1,2,2,1,2,2
440,9740,133,7.0,1,1.0,,,1.0,,,137,1,2,1,2,2,2,1,2
441,9740,135,4.0,1,1.0,,,2.0,18.0,,167,1,2,2,2,2,1,1,2
442,9740,55,99.0,1,1.0,,,1.0,,,8,2,2,2,2,2,2,2,1
443,9740,58,99.0,1,3.0,,2.0,1.0,,,8,2,2,2,2,2,2,2,1
444,9756,55,10.0,1,2.0,5.0,,2.0,24.0,,1357,1,2,1,2,1,2,1,2
445,9770,117,6.0,1,,,,2.0,12.0,,137,1,2,1,2,2,2,1,2
446,9770,14,99.0,1,2.0,1.0,,1.0,,,17,1,2,2,2,2,2,1,2
447,9820,19,99.0,1,2.0,1.0,,1.0,,,8,2,2,2,2,2,2,2,1
448,10060,132,4.0,1,2.0,1.0,,1.0,,,13,1,2,1,2,2,2,2,2
449,10080,101,5.0,1,2.0,4.0,,2.0,6.0,,36,2,2,1,2,2,1,2,2
450,10080,11,99.0,1,1.0,,,1.0,,,135,1,2,1,2,1,2,2,2
451,10122,114,9.0,1,2.0,3.0,,1.0,,,1367,1,2,1,2,2,1,1,2
452,10150,83,99.0,1,1.0,,,1.0,,,8,2,2,2,2,2,2,2,1
453,10175,113,4.0,1,1.0,,,1.0,,,1356,1,2,1,2,1,1,2,2
454,10176,137,4.0,1,1.0,,,2.0,18.0,,135,1,2,1,2,1,2,2,2
455,10245,110,6.0,1,1.0,,,2.0,24.0,,36,2,2,1,2,2,1,2,2
456,10254,157,4.0,1,3.0,,3.0,2.0,12.0,,1467,1,2,2,1,2,1,1,2
457,10262,160,7.0,1,2.0,1.0,,1.0,,,1367,1,2,1,2,2,1,1,2
458,10327,36,99.0,1,1.0,,,1.0,,,145,1,2,2,1,1,2,2,2
459,10327,91,99.0,1,1.0,,,1.0,,,6,2,2,2,2,2,1,2,2
460,10359,133,6.0,1,2.0,4.0,,2.0,16.0,,167,1,2,2,2,2,1,1,2
461,10359,135,8.0,1,1.0,,,2.0,12.0,,136,1,2,1,2,2,1,2,2
462,10371,101,3.0,1,2.0,8.0,,1.0,,,136,1,2,1,2,2,1,2,2
463,5074,160,99.0,1,1.0,,,1.0,,,8,2,2,2,2,2,2,2,1
464,5392,167,99.0,1,1.0,,,1.0,,,8,2,2,2,2,2,2,2,1
465,5392,168,99.0,1,1.0,,,1.0,,,8,2,2,2,2,2,2,2,1
466,5686,133,99.0,1,2.0,12.0,,1.0,,,367,2,2,1,2,2,1,1,2
467,5810,133,99.0,1,1.0,,,1.0,,,367,2,2,1,2,2,1,1,2
468,6065,113,99.0,1,2.0,3.0,,1.0,,,17,1,2,2,2,2,2,1,2
469,6352,351,99.0,1,1.0,,,1.0,,,456,2,2,2,1,1,1,2,2
470,6483,237,10.0,1,1.0,,,1.0,,,16,1,2,2,2,2,1,2,2
471,6569,127,99.0,1,2.0,15.0,,1.0,,,13,1,2,1,2,2,2,2,2
472,6595,141,99.0,1,2.0,2.0,,1.0,,,8,2,2,2,2,2,2,2,1
473,7108,241,99.0,1,2.0,4.0,,1.0,,,257,2,1,2,2,1,2,1,2
474,7241,214,99.0,1,1.0,,,1.0,,,1367,1,2,1,2,2,1,1,2
475,7446,127,99.0,1,3.0,,19.0,1.0,,,135,1,2,1,2,1,2,2,2
476,7446,128,99.0,1,1.0,,,1.0,,,7,2,2,2,2,2,2,1,2
477,7533,152,99.0,1,2.0,1.0,,1.0,,,12,1,1,2,2,2,2,2,2
478,7541,123,99.0,1,2.0,2.0,,1.0,,,2,2,1,2,2,2,2,2,2
479,7992,101,99.0,1,1.0,,,1.0,,,28,2,1,2,2,2,2,2,2
480,8055,181,99.0,1,1.0,,,1.0,,,2,2,1,2,2,2,2,2,2
481,8311,105,10.0,1,1.0,,,1.0,,,1,1,2,2,2,2,2,2,2
482,8318,101,99.0,1,2.0,1.0,,1.0,,,147,1,2,2,1,2,2,1,2
483,8770,114,99.0,1,1.0,,,1.0,,,12,1,1,2,2,2,2,2,2
484,8770,114,99.0,1,2.0,2.0,,1.0,,,8,2,2,2,2,2,2,2,1
485,8918,219,99.0,1,3.0,,1.0,1.0,,,157,1,2,2,2,1,2,1,2
486,9040,138,99.0,1,1.0,,,1.0,,,1257,1,1,2,2,1,2,1,2
487,9184,108,99.0,1,1.0,,,1.0,,,67,2,2,2,2,2,1,1,2
488,9287,142,99.0,1,2.0,1.0,,1.0,,,16,1,2,2,2,2,1,2,2
489,9607,105,10.0,1,1.0,,,1.0,,,3567,2,2,1,2,1,1,1,2
490,9719,109,99.0,1,1.0,,,1.0,,,2356,2,1,1,2,1,1,2,2
491,10122,114,11.0,1,2.0,4.0,,1.0,,,13467,1,2,1,1,2,1,1,2
492,10183,117,99.0,1,2.0,1.0,,2.0,3.0,,127,1,1,2,2,2,2,1,2
493,10262,161,99.0,1,2.0,2.0,,1.0,,,8,2,2,2,2,2,2,2,1
494,10380,142,14.0,1,2.0,1.0,,1.0,,,136,1,2,1,2,2,1,2,2
495,5155,213,99.0,1,1.0,,,1.0,,,6,2,2,2,2,2,1,2,2
